"year";"min_spei1";"min_spei3";"mean_spei1";"mean_spei3";"site"
"P800057PISY_clim.36";1996;-0.290438497803307;-0.0680966528079113;0.647113878672089;0.784849230633319;"P800057PISY"
"P800057PISY_clim.37";1997;-1.48491160867576;0.49896389806111;0.253996588512559;1.18495477621458;"P800057PISY"
"P800057PISY_clim.38";1998;-1.40868520691473;-1.15969368004166;-0.247262455571442;-0.773615093134222;"P800057PISY"
"P800057PISY_clim.39";1999;-0.751528075556669;-0.616137775290289;-0.0125608556501982;-0.00501532900280759;"P800057PISY"
"P800057PISY_clim.40";2000;-1.59260804333528;-1.63683752802214;-0.592669069055363;0.177737254599116;"P800057PISY"
"P800057PISY_clim.41";2001;-0.587421878121416;-0.0883178557017391;0.452633750941158;0.505124506608106;"P800057PISY"
"P800057PISY_clim.42";2002;-0.831791292253411;-1.11252186245178;0.281513074232595;0.168062586308898;"P800057PISY"
"P800057PISY_clim.43";2003;-1.84226277309932;-1.78290169120462;-0.562723725650819;-1.04374546154674;"P800057PISY"
"P800057PISY_clim.44";2004;-1.23716001753747;-1.16941999095624;-0.359125247469112;-0.619219759019507;"P800057PISY"
"P800057PISY_clim.45";2005;-0.850553146083846;-0.721358266222454;0.0719189567328568;0.246609339118259;"P800057PISY"
"P800057PISY_clim.46";2006;-2.10088758333633;-1.22511500862864;0.0219942484005396;0.533470669342874;"P800057PISY"
"P800057PISY_clim.47";2007;-2.05716650494998;-1.03291483216549;0.0493784995908536;-0.0499137073252963;"P800057PISY"
"P800057PISY_clim.48";2008;-0.943604871879372;-0.930731896536681;-0.301311078433807;-0.358188584805375;"P800057PISY"
"P800057PISY_clim.49";2009;-2.02884016108866;0.277715300856734;0.023457491856052;1.22826585087551;"P800057PISY"
